Model,Architecture,Parameters,Test Accuracy,Test Loss,Macro F1,Weighted F1
Baseline CNN,4-Block CNN (From Scratch),"427,299",3.31%,73.1008,0.0250,0.0265
EfficientNetB0,EfficientNetB0 (ImageNet Pretrained),"4,099,526 (47,395 Trainable)",69.96%,1.0663,0.6986,0.6842
